namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
LOMBOK BARAT,Foto kamarwan.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,266398,8,"KAMARWAN HADI, A.Md",Laki-Laki
KOTA BANDUNG,Foto AHP New.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,7346,1,Dr. ANDREAS HUGO PAREIRA,Laki-Laki
KOTA BEKASI,Foto Valen D. Soo.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19375,2,"VALENS DAKI-SOO, S.H.",Laki-Laki
JAKARTA SELATAN,Foto Maria.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,277625,3,"M. JASHINTA E. HAMBOER., S.Ikom., M.Ikom",Perempuan
KOTA KUPANG,Foto Frans.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,83985,4,Drs. FRANS LEBU RAYA,Laki-Laki
NAGEKEO,Foto Anna Marlinda.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,276878,5,"ANNA MARLINDA M.B., S.Sos",Perempuan
JAKARTA TIMUR,Paskalis Baut.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19437,6,"MAKARIUS PASKALIS BAUT, S.H.",Laki-Laki
KOTA DEPOK,Foto HH New.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20544,1,HERMAN HERRY,Laki-Laki
JAKARTA SELATAN,Y.F.Lema New.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20582,2,"YOHANIS FRANSISKUS LEMA, S.IP., M.SI",Laki-Laki
KOTA KUPANG,Foto Amelia M.M.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,283114,3,AMELIA MELIANA MUSKANAN,Perempuan
JAKARTA PUSAT,Foto Rayendie.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20504,4,RAYENDIE ROHY PONO,Laki-Laki
SUMBA TENGAH,Foto Umbu Pateduk.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,278431,5,Drs. UMBU SAPPI PATEDUK,Laki-Laki
KUPANG,Foto Agustina W.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,279175,6,"AGUSTINA WADU, S.E., MM",Perempuan
KUPANG,Foto Nina Y.Y. Here Baloe.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296523,7,NINA YERMINA YULIANA HERE BALOE,Perempuan
KOTA PONTIANAK,1 CORNELIS.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57395,1,"Drs. CORNELIS, M.H.",Laki-Laki
KOTA DEPOK,MICHAEL JENO2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57493,2,"Ir. G. MICHAEL JENO, M.M.",Laki-Laki
LANDAK,img728 4x6.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,256275,3,"MARIA LESTARI, S.Pd",Perempuan
KOTA PONTIANAK,2 M. Jimi.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57447,4,"M. JIMI, S.H.",Laki-Laki
KOTA DEPOK,DSC_0049.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,22732,5,IRJEN POL (PURN) Drs. ERWIN TPL TOBING,Laki-Laki
LANDAK,fhoto siti jubaida.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57637,6,SITI JUBAIDAH,Perempuan
KOTA PONTIANAK,akim2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57539,7,"Dr. ALEXIUS AKIM, M.M.",Laki-Laki
LANDAK,new arival.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57565,8,WIDYA NINGSIH,Perempuan
JAKARTA SELATAN,lasarus.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,24853,1,"LASARUS, S.Sos, M.Si",Laki-Laki
KOTA PONTIANAK,krisantus.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,60018,2,"KRISANTUS KURNIAWAN, S.IP, M.Si",Laki-Laki
MELAWI,FOTO 4x6 YULIS.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,60119,3,"YULISTIA HARTY, S.H, M.H.",Perempuan
SINTANG,fhoto.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,263619,4,MUJIWATI,Perempuan
KOTA PALANGKARAYA,wmy.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,22754,1,"Dr. Ir. WILLY MIDEL YOSEPH, M.M.",Laki-Laki
KOTA PALANGKARAYA,rinawati limonu.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,295967,2,"RINAWATI LIMONU, S.HUT",Perempuan
KOTAWARINGIN BARAT,AGUSTIAR 2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,279279,3,"H. AGUSTIAR SABRAN, S.Kom",Laki-Laki
