namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
KOTA MEDAN,4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,147998,5,"M ALI BRANTAS SARAGIH, ST",Laki-Laki
KOTA PADANG SIDIMPUAN,WhatsApp Image 2018-07-14 at 03.01.44(1).jpg,PARTAI GERAKAN INDONESIA RAYA,189957,6,JAMILAH SIREGAR,Perempuan
KOTA MEDAN,PASS PHOTO_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,181329,7,Ir. ABDUL WAHAB SIREGAR,Laki-Laki
KOTA MEDAN,7228_frans foto_20180715141429-001.jpg,PARTAI GERAKAN INDONESIA RAYA,205359,8,"Drs. FRANS ANTHONY SIHOMBING, MM",Laki-Laki
KOTA PADANG SIDIMPUAN,fhoto.jpg,PARTAI GERAKAN INDONESIA RAYA,189710,9,"FITRI MARINA RITONGA, S. Kom",Perempuan
KOTA MEDAN,20180726214808.jpg,PARTAI GERAKAN INDONESIA RAYA,294249,10,Ir. ALBERT P. SILITONGA,Laki-Laki
JAKARTA SELATAN,martin 4x3 baru.jpg,PARTAI GERAKAN INDONESIA RAYA,138926,1,MARTIN H HUTABARAT,Laki-Laki
LANGKAT,PAS PHOTO UKURAN 4X6.jpg,PARTAI GERAKAN INDONESIA RAYA,175637,2,"Prof. DR, Ir. DJOHAR ARIFIN HUSIN",Laki-Laki
JAKARTA TIMUR,malau.jpg,PARTAI GERAKAN INDONESIA RAYA,147535,3,"NORA MALAU, S.Th, M.Th",Perempuan
KOTA PADANG,PAS FOTO 4X6 DWI.jpeg,PARTAI GERAKAN INDONESIA RAYA,201705,4,"DWI APRIYANTI, S.Pd",Perempuan
KARO,PAS FOTO 4X6 THOMAS.jpeg,PARTAI GERAKAN INDONESIA RAYA,150811,5,THOMAS JOVERSON GINTING,Laki-Laki
KOTA MEDAN,SUGIAT.jpeg,PARTAI GERAKAN INDONESIA RAYA,138305,6,"SUGIAT SANTOSO, SE., M.SP",Laki-Laki
LANGKAT,fhoto sri kumala.jpeg,PARTAI GERAKAN INDONESIA RAYA,198685,7,"SRI KUMALA DEVI, Am. Keb.",Perempuan
JAKARTA UTARA,PAS POTO 4X6 JONNY.jpeg,PARTAI GERAKAN INDONESIA RAYA,140279,8,"JONNY BUYUNG SARAGI, S.H., M.H.",Laki-Laki
KOTA TANGERANG SELATAN,PAS POTO 4X6 ANDI.jpeg,PARTAI GERAKAN INDONESIA RAYA,182721,9,Ir. ANDI AKMAL AMNUR,Laki-Laki
JAKARTA SELATAN,gatta.jpg,PARTAI GERAKAN INDONESIA RAYA,77471,10,"Drs. GATTA CHAIRUDDIN, SH",Laki-Laki
JAKARTA SELATAN,IMG_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,140810,1,"dr. H. SUIR SYAM, M.Kes.",Laki-Laki
KOTA TANGERANG SELATAN,FOTO 4X6_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,141494,2,ANDRE ROSIADE,Laki-Laki
JAKARTA SELATAN,4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,123229,3,"EDRIANA, SH., MA",Perempuan
PESISIR SELATAN,WhatsApp Image 2018-07-31 at 14.11.59.jpeg,PARTAI GERAKAN INDONESIA RAYA,77258,4,Ir. AFRIZON NAZAR UNCU,Laki-Laki
KOTA PADANG,FOTO_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296341,5,M. SABRAN CATIO,Laki-Laki
TANGERANG,FOTO_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296218,6,ASNELLY,Perempuan
KOTA TANGERANG SELATAN,FOTO_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296300,7,DEWI,Perempuan
JAKARTA TIMUR,WhatsApp Image 2018-07-31 at 14.11.07.jpeg,PARTAI GERAKAN INDONESIA RAYA,77122,8,"Drs. ANTONI AMIR, SH",Laki-Laki
JAKARTA SELATAN,12. Pas Foto 4 X 6.jpg,PARTAI GERAKAN INDONESIA RAYA,76884,1,ADE REZKI PRATAMA,Laki-Laki
JAKARTA PUSAT,FHOTO.jpeg,PARTAI GERAKAN INDONESIA RAYA,122476,2,ERIZAL CHANIAGO,Laki-Laki
JAKARTA BARAT,FHOTO MARIA.jpg,PARTAI GERAKAN INDONESIA RAYA,204260,3,MARIA ANGELIE NENGSI,Perempuan
KOTA MEDAN,FOTO_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,299410,4,"MAULIDINI NAZLELY, S.Psi",Perempuan
KOTA PADANG,FOTO H. BENNY.jpeg,PARTAI GERAKAN INDONESIA RAYA,200490,5,BENY SASWIN NASRUN,Laki-Laki
KOTA MATARAM,4x6 eva.jpg,PARTAI GERAKAN INDONESIA RAYA,178475,6,EVA NIRWANA,Perempuan
JAKARTA TIMUR,Foto 1.jpg,PARTAI GERAKAN INDONESIA RAYA,75062,1,MIFTAH NUR SABRI,Laki-Laki
KOTA PEKANBARU,WhatsApp Image 2018-07-17 at 12.07.42.jpeg,PARTAI GERAKAN INDONESIA RAYA,282175,2,MUHAMMAD RAHUL,Laki-Laki
JAKARTA SELATAN,4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,122954,3,"ZAYU RIZKI SAFITRI, SH., MA",Perempuan
JAKARTA UTARA,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,274649,4,"KRIST IBNU T WAHYUDI, SH",Laki-Laki
KOTA PEKANBARU,FEBBY IMG_3688 copy.jpg,PARTAI GERAKAN INDONESIA RAYA,182348,5,FEBBY RAHMADANI,Perempuan
KOTA TANGERANG SELATAN,foto.jpg,PARTAI GERAKAN INDONESIA RAYA,189487,6,NONA GAYATRI NASUTION,Perempuan
KOTA PEKANBARU,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,120796,7,"H. FEBRIAN AMANDA, SHI",Laki-Laki
KOTA PEKANBARU,"pas foto h. nurzahedi, SE alias eddy tanjung 4x6.jpg",PARTAI GERAKAN INDONESIA RAYA,103402,1,"H. NURZAHEDI, SE  ALIAS EDDY TANJUNG",Laki-Laki
JAKARTA PUSAT,WhatsApp Image 2018-07-31 at 15.01.57.jpeg,PARTAI GERAKAN INDONESIA RAYA,108478,2,"M. SAID BAKHRI, S.Sos., S.H., M.H",Laki-Laki
KOTA DEPOK,PAS PHOTO 4X6_20180708_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,91446,3,"HUSNA, M.Ag",Perempuan
KOTA PEKANBARU,FOTO HASRULL_20180710_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,100566,4,"Ir. H. HASRUL, M.Si",Laki-Laki
JAKARTA TIMUR,foto.jpg,PARTAI GERAKAN INDONESIA RAYA,175047,5,"BONA RICKI JEFERSON SIAHAAN, S.Pd",Laki-Laki
KAMPAR,foto.jpg,PARTAI GERAKAN INDONESIA RAYA,175748,6,"DYAH AYU NURANI, S.Pd",Perempuan
KOTA JAMBI,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,265104,1,"Ir. H.A.R. SUTAN ADIL HENDRA, MM",Laki-Laki
KOTA JAMBI,Sri Budiyati (Gerindra).JPG,PARTAI GERAKAN INDONESIA RAYA,82132,2,SRI BUDIYATI,Perempuan
JAKARTA UTARA,FOTO Drs. H. A. MURIDY DARMANSYAH_20180712_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,177794,3,Drs. H.A. MURADY DARMANSYAH,Laki-Laki
KOTA JAMBI,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,122186,4,H. SUPARMAN,Laki-Laki
KOTA JAMBI,Foto.JPG,PARTAI GERAKAN INDONESIA RAYA,82285,5,HJ. JOYCE AIPASSA,Perempuan
KOTA JAMBI,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,82577,6,dr. DICKY MUHAMMAD ISKANDAR,Laki-Laki
KOTA JAMBI,IMG_20180726_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,294606,7,"A. GUNAWAN, SE",Laki-Laki
KERINCI,IMG_20180723_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,294803,8,"YANTI MARIA SUSANTI, SE",Perempuan
JAKARTA SELATAN,"FOTO EDHY PRABOWO MM,MBA_20180713_0001.jpg",PARTAI GERAKAN INDONESIA RAYA,102407,1,"EDHY PRABOWO, MM., MBA",Laki-Laki
KOTA PALEMBANG,FOTO EDDY SANTANA_20180713_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,79735,2,"Ir. EDDY SANTANA PUTRA, MT",Laki-Laki
JAKARTA SELATAN,FOTO SITI NURIZKA PUTERI JAYA_20180713_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,89557,3,"SITI NURIZKA PUTERI JAYA, SH., MH",Perempuan
KOTA PALEMBANG,PASS PHOTO DJABARUDDIN AHMAD_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,79004,4,"Drs. H. DJABARUDDIN AHMAD, ME",Laki-Laki
KOTA PALEMBANG,foto davit.jpg,PARTAI GERAKAN INDONESIA RAYA,199435,5,"DAVIT SAHER WATAYASI, S.IP.,M.IP",Laki-Laki
KOTA PALEMBANG,FOTO _20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,200040,6,"RENNY ASTUTI, SH., S.PN",Perempuan
KOTA PALEMBANG,FOTO_20180726_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,188305,7,JESSI DWI SUDA,Perempuan
KOTA PALEMBANG,FOTO MAHIPAL EDWIN_20180713_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,181856,8,"MAHIPAL EDWIN, SH",Laki-Laki
JAKARTA SELATAN,"FOTO SAFRI, ME, MSi_20180713_0001.jpg",PARTAI GERAKAN INDONESIA RAYA,117057,1,"SAFRI, SE., Msi.",Laki-Laki
KOTA BEKASI,FOTO SRI MELIYANA_20180712_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,90521,2,Ir. SRI MELIYANA,Perempuan
KOTA DEPOK,FOTO HERMAN BASUNING_20180712_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,116311,3,HERMAN BASUNING,Laki-Laki
JAKARTA TIMUR,WhatsApp Image 2018-07-31 at 7.12.45 PM.jpeg,PARTAI GERAKAN INDONESIA RAYA,200377,4,"SANDRA SORAYA, SH",Perempuan
OGAN KOMERING ULU TIMUR,4x6.JPG,PARTAI GERAKAN INDONESIA RAYA,89201,5,"FENUS ANTONIUS, SE",Laki-Laki
JAKARTA BARAT,FOTO_20180729_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296155,6,"CAKRA HERU SANTOSA, SH.,MH",Laki-Laki
JAKARTA SELATAN,FOTO_20180730_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,298777,7,Ir. IBNU HAJAR HERYANTO,Laki-Laki
JAKARTA PUSAT,FOTO_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,298855,8,"TRI WIJAYANTI, SE",Perempuan
KOTA PALEMBANG,FOTO _20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,298954,9,NYAYU ROSDIANA,Perempuan
JAKARTA SELATAN,PAS PHOTO 4X6_20180709_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,84689,1,"SUSI MARLENY BACHSIN, SE., MM",Perempuan
KOTA BOGOR,FOTO HERI BUDIANTO_20180713_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,89876,2,"Dr. HERI BUDIANTO, M.Si",Laki-Laki
KOTA BENGKULU,PASS PHOTO LIA LASTARIA_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296007,3,dr. LIA LASTARIA,Perempuan
JAKARTA SELATAN,daniel.JPG,PARTAI GERAKAN INDONESIA RAYA,89195,4,"DANIEL PUJOSUDARMO, S.Si",Laki-Laki
TANGERANG,33. Pas Photo 4X6.jpg,PARTAI GERAKAN INDONESIA RAYA,159560,1,H. AHMAD MUZANI,Laki-Laki
KOTA BANDAR LAMPUNG,FOTO baru_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,129353,2,"H. GUNADI IBRAHIM, SE",Laki-Laki
KOTA DEPOK,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,204042,3,USMA WARNIE PETER,Perempuan
JAKARTA SELATAN,ok.JPG,PARTAI GERAKAN INDONESIA RAYA,100283,4,"HENDARSAM MARANTOKO, SH",Laki-Laki
KOTA BANDAR LAMPUNG,FOTO_20180729_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296249,5,dr. RAISSA ULFAH FADILLAH,Perempuan
KOTA BANDAR LAMPUNG,syabirin.jpg,PARTAI GERAKAN INDONESIA RAYA,177320,6,"SYABIRIN HS. KOENANG, SH., MH.",Laki-Laki
KOTA TANGERANG,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,189964,7,"ADISTIANA PRAHARA, S.P",Perempuan
BOGOR,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,163935,8,SIRUAYA UTAMAWAN,Laki-Laki
KOTA BANDAR LAMPUNG,WhatsApp Image 2018-07-31 at 02.53.47.jpeg,PARTAI GERAKAN INDONESIA RAYA,175599,9,"UJANG GANI, SH",Laki-Laki
KOTA BANDAR LAMPUNG,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,199626,10,M.M RENDHY PRIMASESA SESUNAN,Laki-Laki
JAKARTA SELATAN,FOTO_20180710_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,105795,1,Ir. DWITA RIA GUNADI,Perempuan
KOTA BENGKULU,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,221565,2,Ir. MEIREZA ENDIPAT WIJAYA,Laki-Laki
JAKARTA PUSAT,Foto.jpg,PARTAI GERAKAN INDONESIA RAYA,77688,3,"BOB HASAN, SH.,MH",Laki-Laki
KOTA BANDAR LAMPUNG,azhar ali.jpg,PARTAI GERAKAN INDONESIA RAYA,186970,4,Drs. AZHARI ALI,Laki-Laki
KOTA BANDAR LAMPUNG,foto agus salim.jpg,PARTAI GERAKAN INDONESIA RAYA,187807,5,Drs. AGUS SALIM,Laki-Laki
JAKARTA TIMUR,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296345,6,FEMY RULITA,Perempuan
KOTA BANDAR LAMPUNG,FOTO baru_20180731_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296298,7,ACHMAD KAMAL,Laki-Laki
KOTA BANDAR LAMPUNG,FOTO_20180730_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296333,8,WAHYU TAMLIKA,Laki-Laki
KOTA TANGERANG SELATAN,FOTO_20180730_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,296279,9,IRMA RAHAYU NASUTION,Perempuan
KOTA BANDAR LAMPUNG,FOTO_20180728_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,201883,10,SIRAJ EL MUNIER,Laki-Laki
JAKARTA TIMUR,FOTO_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,299591,1,SALEH RAMLI,Laki-Laki
JAKARTA PUSAT,4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,279993,2,"JAMER SIDEN PURBA, SH",Laki-Laki
KARIMUN,IMG_7326 copy.jpg,PARTAI GERAKAN INDONESIA RAYA,205038,3,"Dra. MAEMUNAH, MM",Perempuan
KOTA BATAM,fhoto.jpg,PARTAI GERAKAN INDONESIA RAYA,294291,4,Ir. ADRIANNA HERAWATY BURHAN,Perempuan
KOTA BANDUNG,PASS PHOTO_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,155344,1,"Dr. Ir. H. SODIK MUDJAHID, M.Sc",Laki-Laki
KOTA BANDUNG,IMG_20180713_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,154896,2,"H. AGUNG SURYAMAL, SH",Laki-Laki
JAKARTA SELATAN,FOTO_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,83201,3,"MARTINI, S.E",Perempuan
KOTA CIMAHI,POTO ASEP HADAD_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,200011,4,ASEP HADAD DIDJAYA,Laki-Laki
KOTA BANDUNG,ELZA GALAN ZEN.jpg,PARTAI GERAKAN INDONESIA RAYA,155324,5,Dra. HJ. ELZA GALAN ZEN,Perempuan
KOTA BANDUNG,POTO ARIF R_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,231085,6,H. ARIP RAHMAN,Laki-Laki
KOTA BANDUNG,PASS PHOTO MARIA ROSALINDA_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,147493,7,"MARIA ROSALINDA, S.Kom., M.Si",Perempuan
JAKARTA SELATAN,RACHEAL MARYAM SAYIDINA.jpg,PARTAI GERAKAN INDONESIA RAYA,147868,1,RACHEL MARYAM SAYIDINA,Perempuan
JAKARTA SELATAN,IMG-20180715-WA0031.jpg,PARTAI GERAKAN INDONESIA RAYA,84252,2,"IIS EDHY PRABOWO, S.Hum., MM",Perempuan
KOTA BANDUNG,DEDY ABDULLAH.jpg,PARTAI GERAKAN INDONESIA RAYA,176942,3,DEDY ABDULLAH,Laki-Laki
BANDUNG,PASS PHOTO ASEP SUTISNA_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,154891,4,ASEP SUTISNA,Laki-Laki
KOTA CIMAHI,DUDDY R DEWAYANA.jpg,PARTAI GERAKAN INDONESIA RAYA,200310,5,DUDDY R DEWAYANA,Laki-Laki
KOTA TANGERANG SELATAN,GUNTUR TRIYONO.jpg,PARTAI GERAKAN INDONESIA RAYA,152558,6,GUNTUR TRIYONO,Laki-Laki
KOTA TANGERANG SELATAN,PHOTO INDRA W_20.jpg,PARTAI GERAKAN INDONESIA RAYA,198201,7,INDRA WAHYUDI,Laki-Laki
KOTA BATU,ANISA SOVIA NURANI.jpg,PARTAI GERAKAN INDONESIA RAYA,198382,8,ANNYSA SOVIA NURANI,Perempuan
KOTA BANDAR LAMPUNG,MUHAMAD KADAFI.jpg,PARTAI GERAKAN INDONESIA RAYA,214367,9,MUHAMAD KADAFI,Laki-Laki
KOTA BANDUNG,FOTO IWA GARTIWA.jpg,PARTAI GERAKAN INDONESIA RAYA,153100,10,"Ir. IWA GARTIWA, MM",Laki-Laki
JAKARTA SELATAN,Foto-A Riza.jpg,PARTAI GERAKAN INDONESIA RAYA,73849,1,"Ir. H. AHMAD RIZA PATRIA, MBA",Laki-Laki
KOTA BOGOR,FotoEndang_1.jpg,PARTAI GERAKAN INDONESIA RAYA,119551,2,"Dr. Ir. HJ. ENDANG SETYAWATI THOHARI DESS, MSC",Perempuan
JAKARTA TIMUR,Foto_1(2).jpg,PARTAI GERAKAN INDONESIA RAYA,75879,3,"SJUKRIANTO YULIA, SE, M.Fin",Laki-Laki
JAKARTA SELATAN,PAS FOTO 4X6_20180714_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,165391,4,Ir. IRWAN ARDI HASMAN,Laki-Laki
CIANJUR,Yaya Ruyani 4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,118207,5,"YAYA RUYANI, S.Sos.",Perempuan
KOTA BOGOR,FOTO-H.ZAINAL.jpg,PARTAI GERAKAN INDONESIA RAYA,150900,6,"H. HASAN ZAINAL ABIDIN EZ, SE., MM",Laki-Laki
JAKARTA UTARA,FOTO-HELMALIA.jpg,PARTAI GERAKAN INDONESIA RAYA,168255,7,HELMALIA JELITA PUTRI,Perempuan
KOTA BOGOR,MOHAMMAD NUR SUKMA.jpg,PARTAI GERAKAN INDONESIA RAYA,75632,8,Ir. H. MOHAMMAD NUR SUKMA,Laki-Laki
KOTA BOGOR,FOTO-LUKMAN.jpg,PARTAI GERAKAN INDONESIA RAYA,293908,9,Dr. Ir. H. LUKMAN MALANUANG,Laki-Laki
KOTA TANGERANG SELATAN,Foto-HeriGunawan_1.jpg,PARTAI GERAKAN INDONESIA RAYA,120165,1,HERI GUNAWAN,Laki-Laki
JAKARTA TIMUR,PASS PHOTO 4X6 neviii_20180717_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,76458,2,NEVI HERIYANTI,Perempuan
KOTA TANGERANG SELATAN,FOTO MUSTOFA_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,255191,3,"MUSTOFA, SE",Laki-Laki
JAKARTA BARAT,FOTO-MayangRukmi_1.jpg,PARTAI GERAKAN INDONESIA RAYA,195975,4,MAYANG RUKMI,Perempuan
JAKARTA BARAT,FOTO MODI TITAN PRASETYO_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,130988,5,"MODI TITAN PRASETYO, SE",Laki-Laki
KOTA BATAM,FOTO MOHAMAD JUANDA_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,294744,6,"MOCHAMAD DJUANDA, ST",Laki-Laki
KOTA DEPOK,FADLY ZON.jpg,PARTAI GERAKAN INDONESIA RAYA,56679,1,"DR. H. FADLI ZON, SS., M.Sc",Laki-Laki
BOGOR,WhatsApp Image 2018-08-11 at 8.44.14 PM.jpeg,PARTAI GERAKAN INDONESIA RAYA,116919,2,"Drs. H. MULYADI, MMA",Laki-Laki
KOTA DEPOK,JASMIN.jpg,PARTAI GERAKAN INDONESIA RAYA,209232,3,JASMIN KARTIASA SETIAWAN,Perempuan
BOGOR,Foto Pak Lucky.jpg,PARTAI GERAKAN INDONESIA RAYA,76068,4,"LUCKY BAYU PURNOMO, SE., ME.",Laki-Laki
KOTA BOGOR,DIDIK.jpg,PARTAI GERAKAN INDONESIA RAYA,92358,5,Ir. H. DIDIK HARIYANTO,Laki-Laki
BOGOR,PERTIWI.jpg,PARTAI GERAKAN INDONESIA RAYA,107693,6,Ir. PERTIWI AWILDA,Perempuan
JAKARTA SELATAN,TOHIR.jpg,PARTAI GERAKAN INDONESIA RAYA,75598,7,"TOHIR, SH",Laki-Laki
KOTA TANGERANG SELATAN,MUDRIKAH.jpg,PARTAI GERAKAN INDONESIA RAYA,200439,8,"MUDRIKAH, S.E",Perempuan
BOGOR,EKA GUMILAR 4X6 ( MERAH ).JPG,PARTAI GERAKAN INDONESIA RAYA,84530,9,EKA GUMILAR,Laki-Laki
KOTA DEPOK,Foto-Nuroji_1(2).jpg,PARTAI GERAKAN INDONESIA RAYA,121447,1,Ir. H. NUROJI,Laki-Laki
KOTA BEKASI,PAS PHOTO 4X6_20180708_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,66583,2,"MIRAH SUMIRAT, SE",Perempuan
JAKARTA TIMUR,FotoFauzi_1[1].jpg,PARTAI GERAKAN INDONESIA RAYA,120137,3,FAUZI BAADILLA,Laki-Laki
KOTA DEPOK,PASS PHOTO 4X6 MUKHLIS_20180717_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,165375,4,"KH. MUKHLIS EFFENDI, SH., MH",Laki-Laki
KOTA BEKASI,FOTO MARHABAN_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,298265,5,DR. H. MARHABAN SIGALINGGING,Laki-Laki
JAKARTA SELATAN,Foto_nina.jpg,PARTAI GERAKAN INDONESIA RAYA,242223,6,NINA ROZALINDA R.,Perempuan
JAKARTA TIMUR,PUTIH SARI.JPG,PARTAI GERAKAN INDONESIA RAYA,138802,1,drg. PUTIH SARI,Perempuan
BEKASI,OBONN.jpg,PARTAI GERAKAN INDONESIA RAYA,91021,2,OBON TABRONI,Laki-Laki
PURWAKARTA,RUSTABDIE.jpg,PARTAI GERAKAN INDONESIA RAYA,157974,3,"H. RUSTANDIE, SH",Laki-Laki
JAKARTA SELATAN,ARIA S 1 POTO.jpg,PARTAI GERAKAN INDONESIA RAYA,108753,4,Ir. ARIA SULHAN WITOELAR,Laki-Laki
KOTA BEKASI,DERRY.jpg,PARTAI GERAKAN INDONESIA RAYA,183437,5,DERRY DRAJAT,Laki-Laki
JAKARTA TIMUR,ANY MARIANY.jpg,PARTAI GERAKAN INDONESIA RAYA,108480,6,ANY MARIANY TENGKER,Perempuan
BEKASI,POTO H. DARIS 1 POTO.jpg,PARTAI GERAKAN INDONESIA RAYA,108325,7,"H. DARIS, SH",Laki-Laki
KARAWANG,FOTO NACE PERMANA_20180715_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,115238,8,"NACE PERMANA, SE.,M.IKom",Laki-Laki
KOTA DEPOK,SUSILAWATIII.jpg,PARTAI GERAKAN INDONESIA RAYA,295840,9,"HJ. SUSILAWATI, SE",Perempuan
JAKARTA TIMUR,POTO SUJUD_20180716_0001.jpg,PARTAI GERAKAN INDONESIA RAYA,94327,10,"DR. SUDJUD SIRADJUDDIN, SH., MH",Laki-Laki
JAKARTA SELATAN,hasyim.jpeg,PARTAI GERAKAN INDONESIA RAYA,136694,1,MUHAJIDIN NUR HASIM,Laki-Laki
JAKARTA TIMUR,kardaya.jpeg,PARTAI GERAKAN INDONESIA RAYA,136687,2,"Dr. Ir. H. KARDAYA WARNIKA, D. E. A.",Laki-Laki
JAKARTA PUSAT,esih warnesih.jpeg,PARTAI GERAKAN INDONESIA RAYA,133415,3,"Hj. ESIH WARNESIH, SS., M.Pd",Perempuan
JAKARTA SELATAN,anggawira.jpeg,PARTAI GERAKAN INDONESIA RAYA,257590,4,"DR. ANGGAWIRA, MM",Laki-Laki
KOTA CIREBON,WhatsApp Image 2018-07-15 at 08.46.09 (1).jpeg,PARTAI GERAKAN INDONESIA RAYA,83471,5,"H. DEDE MUHARAM, Lc",Laki-Laki
JAKARTA BARAT,poetri.jpeg,PARTAI GERAKAN INDONESIA RAYA,188862,6,POETRI DEWI WAHYUNINGTYAS,Perempuan
JAKARTA TIMUR,andriansyah.jpeg,PARTAI GERAKAN INDONESIA RAYA,133519,7,Ir. A. ANDRIANSYAH,Laki-Laki
CIREBON,kalinga.jpeg,PARTAI GERAKAN INDONESIA RAYA,162379,8,"Drs. H. KALINGA, MM",Laki-Laki
KOTA DEPOK,nurul maulida.jpeg,PARTAI GERAKAN INDONESIA RAYA,203104,9,NURUL MAULIDAH,Perempuan
KOTA BANDUNG,oo sutisna.jpeg,PARTAI GERAKAN INDONESIA RAYA,156894,1,"H. OO SUTISNA, SH",Laki-Laki
MAJALENGKA,jefri.jpeg,PARTAI GERAKAN INDONESIA RAYA,156773,2,"H.JEFRY ROMDONNY, SE., S.Sos., M.Si.,MM",Laki-Laki
JAKARTA TIMUR,penny.jpeg,PARTAI GERAKAN INDONESIA RAYA,138274,3,PENNI OCTORA,Perempuan
JAKARTA TIMUR,supriaadi.jpeg,PARTAI GERAKAN INDONESIA RAYA,157353,4,"H. SUPRIYADI, SE",Laki-Laki
SUMEDANG,DON MURDONO.jpeg,PARTAI GERAKAN INDONESIA RAYA,156546,5,"DR. H. DON MURDONO, SH MSi",Laki-Laki
JAKARTA SELATAN,dewa ayu.jpeg,PARTAI GERAKAN INDONESIA RAYA,188817,6,DEWA AYU PUTU AMALIA DEWI,Perempuan
JAKARTA SELATAN,rahmawati.jpeg,PARTAI GERAKAN INDONESIA RAYA,190047,7,"RAHMAWATI SUPRAPTO, SE",Perempuan
KOTA TANGERANG SELATAN,agung anugrah.jpeg,PARTAI GERAKAN INDONESIA RAYA,267980,8,MOHAMAD AGUNG ANUGRAH,Laki-Laki
JAKARTA TIMUR,4x6.jpg,PARTAI GERAKAN INDONESIA RAYA,104923,1,"ARDHYA PRATIWI S, SE",Perempuan
KOTA BEKASI,foto daday_1.jpg,PARTAI GERAKAN INDONESIA RAYA,180878,2,"DADAY HUDAYA, SH.,MH",Laki-Laki
KOTA TANGERANG SELATAN,FOTO.jpeg,PARTAI GERAKAN INDONESIA RAYA,51192,3,"AHMAD BAHTIAR SEBAYANG, SE",Laki-Laki
