namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin,idPartai,idDapil,idPro
KOTA PADANG,E-FOTO 4X6 BERWARNA_MEIDYA KASMILA_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,142698,6,MEIDYA KASMILA,Perempuan,1,6,12920
PESISIR SELATAN,E-FOTO 4X6 BERWARNA_ Drs. H. FAUZI_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,28987,7,Drs. H. FAUZI,Laki-Laki,1,6,12920
BOGOR,E-FOTO 4X6 BERWARNA_ELIN NUR_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,118591,8,"ELIN NUR ASLICHAH, S.PD.I",Perempuan,1,6,12920
AGAM,E-FOTO 4X6 BERWARNA_H.FEBBY DT.BANGSO_SUMBAR 2.jpg,Partai Kebangkitan Bangsa,107448,1,H. FEBBY DATUAK BANGSO,Laki-Laki,1,7,12920
PADANG PARIAMAN,E-FOTO 4X6 BERWARNA_JON KENEDI_SUMBAR II.jpg,Partai Kebangkitan Bangsa,29006,2,JON KENEDI M.,Laki-Laki,1,7,12920
PADANG PARIAMAN,E-FOTO BERWARNA 4X6_DESRI WENITA_SUMBAR II.jpg,Partai Kebangkitan Bangsa,54422,3,DESRI WENITA,Perempuan,1,7,12920
KOTA PADANG,E-FOTO 4X6 BERWARNA_MUHAMMAD ZEN_SUMBAR 2.jpg,Partai Kebangkitan Bangsa,79261,4,"Dr. UST. H. MHD ZEN, S.A.P., M.A. DATUK PAMUNCAK",Laki-Laki,1,7,12920
PASAMAN,E-FOTO BERWARNA 4X6_Drs. H. BURHANUDDIN PASARIBU_SUMBAR II...jpg,Partai Kebangkitan Bangsa,21047,5,DRS. H. BURHANUDDIN PASARIBU,Laki-Laki,1,7,12920
LIMA PULUH KOTA,E-FOTO 4X6 BERWARNA_RITA MURNI_SUMBAR II.jpg,Partai Kebangkitan Bangsa,78894,6,Ir. RITA MURNI,Perempuan,1,7,12920
KOTA DEPOK,E-FOTO 4X6 BERWARNA_MUHAMMAD LUKMAN EDY_RIAU 1.jpg,Partai Kebangkitan Bangsa,46353,1,"Ir. H. MUHAMAD LUKMAN EDY, M.Si.",Laki-Laki,1,8,14086
KOTA PEKANBARU,E-PAS FOTO 4X6 BERWARNA_PURWAJI_RIAU 1.jpg,Partai Kebangkitan Bangsa,21115,2,PURWAJI,Laki-Laki,1,8,14086
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_DINAWATI_RIAU 1.jpg,Partai Kebangkitan Bangsa,71040,3,DINAWATI,Perempuan,1,8,14086
KOTA DUMAI,E-FOTO BERWARNA 4X6_PATRIK TATANG_RIAU1.jpg,Partai Kebangkitan Bangsa,20981,4,"PATRIK TATANG, S.E",Laki-Laki,1,8,14086
KOTA PEKANBARU,E-FOTO 4X6 BERWARNA_SRI WARDANI_RIAU 1.jpg,Partai Kebangkitan Bangsa,136489,5,"SRI WARDANI, M.Kes",Perempuan,1,8,14086
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_ERPA YENI_RIAU 1.jpg,Partai Kebangkitan Bangsa,71228,6,ERPA YENI,Perempuan,1,8,14086
KOTA DEPOK,E-FOTO_AHMAD SAEJO BUDIAWAN_RIAU 1.jpeg,Partai Kebangkitan Bangsa,117639,7,AHMAD SAEJO BUDIAWAN,Laki-Laki,1,8,14086
KOTA PEKANBARU,E_FOTO 4X6 BERWARNA_ABDUL WAHID_RIAU II..jpg,Partai Kebangkitan Bangsa,21252,1,"ABDUL WAHID, S.Pd.I",Laki-Laki,1,9,14086
JAKARTA SELATAN,E-Foto 4x6 Berwarna_Mafirion_RIAU II....jpg,Partai Kebangkitan Bangsa,21214,2,H. MAFIRION,Laki-Laki,1,9,14086
KOTA PEKANBARU,E-FOTO 4X6 BERWARNA_PRETTYA LESTARI_RIAU II..jpg,Partai Kebangkitan Bangsa,90225,3,"PRETTYA LESTARI, SE., M.Acc., Ak",Perempuan,1,9,14086
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_MUKHLISH MR_RIAU II..jpg,Partai Kebangkitan Bangsa,25326,4,"Drs. H. MUKHLISH. MR, M.Si",Laki-Laki,1,9,14086
PELALAWAN,E-FOTO BERWARNA 4X6_GOGO TRI SAMOKO_RIAU II.jpg,Partai Kebangkitan Bangsa,183699,5,GOGO TRI SAMOKO,Laki-Laki,1,9,14086
JAKARTA SELATAN,E-FOTO BERWARNA 4X6_HASNIATI_RIAU 2.jpg,Partai Kebangkitan Bangsa,26055,6,"HASNIATI, S.H., M.H.",Perempuan,1,9,14086
KOTA JAMBI,E-FOTO 4X6 BERWARNA_SOFYAN ALI_JAMBI.jpg,Partai Kebangkitan Bangsa,39683,1,"SOFYAN ALI, S.Ag., S.H., M.Pd.",Laki-Laki,1,10,15885
JAKARTA SELATAN,E-FOTO 4X6 BERWARNA_HANDAYANI_JAMBI...jpg,Partai Kebangkitan Bangsa,40111,2,"H. HANDAYANI, SKM., MPH",Laki-Laki,1,10,15885
KOTA JAMBI,E-FOTO 4X6 BERWARNA_SITI RAHMI_JAMBI.jpg,Partai Kebangkitan Bangsa,39670,3,"SITI RAHMI, S.Sos.",Perempuan,1,10,15885
BUNGO,E_FOTO 4X6 BERWARNA_SYAFRI_JAMBI.jpg,Partai Kebangkitan Bangsa,24985,4,"SYAFRI, S.H., M.H.",Laki-Laki,1,10,15885
TANJUNG JABUNG BARAT,E-FOTO 4X6 BERWARNA_M. FADLI_JAMBI.jpg,Partai Kebangkitan Bangsa,24957,5,"H. MUHAMMAD FADLI, S.H.",Laki-Laki,1,10,15885
MUARO JAMBI,E-FOTO BERWARNA 4X6_YULIWANI_JAMBI.jpg,Partai Kebangkitan Bangsa,39714,6,YULIWARNI,Perempuan,1,10,15885
BATANGHARI,E-FOTO BERWARNA 4X6_KASPUL ANWAR_JAMBI.jpg,Partai Kebangkitan Bangsa,61488,7,"KASPUL ANWAR, S.E",Laki-Laki,1,10,15885
KOTA JAMBI,E-FOTO 4X6 BERWARNA_FIKA NOVITA SARI_JAMBI.jpg,Partai Kebangkitan Bangsa,61362,8,"FIKA NOVITA SARI, S.Sos.",Perempuan,1,10,15885
KOTA PALEMBANG,E-Foto_Ramlan Holdan_Sumsel I.jpg,Partai Kebangkitan Bangsa,61836,1,DRS. RAMLAN HOLDAN,Laki-Laki,1,11,17404
JAKARTA TIMUR,E-Foto_H.Andriyanto_Sumsel I.jpg,Partai Kebangkitan Bangsa,22570,2,"H. ANDRIYANTO, SE. MM",Laki-Laki,1,11,17404
KOTA PALEMBANG,E-Foto_Maryam Yusniharti_Sumsel I.jpg,Partai Kebangkitan Bangsa,61417,3,"MARYAM YUSNIHARTI, M.PD.I",Perempuan,1,11,17404
KOTA PALEMBANG,E-Foto_Kuwatno_Sumsel I.jpg,Partai Kebangkitan Bangsa,92457,4,"DR. KUWATNO, S.PD., M.SI",Laki-Laki,1,11,17404
BANYUASIN,E-Foto_Agus Salam_Sumsel I.jpg,Partai Kebangkitan Bangsa,295761,5,"H. AGUS SALAM, SH",Laki-Laki,1,11,17404
KOTA PALEMBANG,E-Foto 4x6_Prihatinadya_Sumsel I.jpg,Partai Kebangkitan Bangsa,68737,6,PRIHARTINADYA,Perempuan,1,11,17404
KOTA PALEMBANG,E-Foto_Intan Maya Sari_Sumsel I.jpg,Partai Kebangkitan Bangsa,62548,7,"INTAN MAYA SARI, S.PD.I",Perempuan,1,11,17404
JAKARTA TIMUR,E-Foto_Nurkholis_Sumsel I.jpg,Partai Kebangkitan Bangsa,29483,8,"NURKHOLIS, SH., MA",Laki-Laki,1,11,17404
JAKARTA SELATAN,E-Foto_Bertu Melas_Sumsel II.jpg,Partai Kebangkitan Bangsa,23310,1,"H. BERTU MERLAS, S.T",Laki-Laki,1,12,17404
KOTA BANDUNG,E-Foto_Alfi Novtriyansyah Rustam_Sumsel II.jpg,Partai Kebangkitan Bangsa,25672,2,"ALFI NOVTRIANSYAH RUSTAM, S.AP",Laki-Laki,1,12,17404
KOTA PALEMBANG,E-Foto_Frevy Gredsyely_Sumsel II.jpg,Partai Kebangkitan Bangsa,102412,3,FREVY GREDSYELY,Perempuan,1,12,17404
KOTA PALEMBANG,E-Foto_Teguh Munir_Sumsel II_001.jpg,Partai Kebangkitan Bangsa,71103,4,TEGUH MUNIR,Laki-Laki,1,12,17404
KOTA PALEMBANG,E-Foto_Mukti Sulaiman_Sumsel II.jpg,Partai Kebangkitan Bangsa,20986,5,"H. MUKTI SULAIMAN, SH. M.HUM",Laki-Laki,1,12,17404
BANYUASIN,E-foto_Rizky Gusti Handayani_Sumsel II.jpg,Partai Kebangkitan Bangsa,61696,6,RISKY GUSTI HANDAYANI,Perempuan,1,12,17404
OGAN ILIR,E-Foto_Adelia Damayanti_Sumsel II.jpg,Partai Kebangkitan Bangsa,60541,7,ADELIA DAMAYANTI,Perempuan,1,12,17404
KOTA PAGAR ALAM,E-Foto_Indri Siswandi_Sumsel II.jpg,Partai Kebangkitan Bangsa,22427,8,INDRI  SISWANDI,Laki-Laki,1,12,17404
KOTA PALEMBANG,E-Foto_Arna Suryati Anwar_Sumsel II.jpg,Partai Kebangkitan Bangsa,117745,9,"ARNA SURYATI, S.PD",Perempuan,1,12,17404
JAKARTA SELATAN,E-FOTO 4X6_Eko Putro Sandjojo_Bengkulu.jpg,Partai Kebangkitan Bangsa,120135,1,EKO P SANDJOJO,Laki-Laki,1,13,20802
REJANG LEBONG,E-Foto_Herliardo_Bengkulu.jpg,Partai Kebangkitan Bangsa,185826,2,"HERLIARDO, S.AG",Laki-Laki,1,13,20802
JAKARTA SELATAN,E-Foto_4x6_Dewi Paramita_Bengkulu.jpg,Partai Kebangkitan Bangsa,189647,3,DEWI PARAMITA,Perempuan,1,13,20802
LEBAK,E-Foto_Dena Anggari_Bengkulu.jpg,Partai Kebangkitan Bangsa,186805,4,DENA ANGGARI,Perempuan,1,13,20802
KOTA BANDAR LAMPUNG,E-Foto_Hidir Ibrahim_Lampung I.jpg,Partai Kebangkitan Bangsa,28991,1,"HIDIR IBRAHIM, S.AG., M.SI",Laki-Laki,1,14,22328
KOTA BANDAR LAMPUNG,E-Foto 5R_Muhammad Kadafi_Lampung I.jpg,Partai Kebangkitan Bangsa,21238,2,"DR. H. MUHAMMAD KADAFI, SH., MH",Laki-Laki,1,14,22328
JAKARTA UTARA,E-Foto_Febri Diana_Lampung I_001.jpg,Partai Kebangkitan Bangsa,95706,3,"FEBRI DIANA, SHI",Perempuan,1,14,22328
TANGGAMUS,E-Foto_A. Wahid Zamas_Lampung I.jpg,Partai Kebangkitan Bangsa,21334,4,"KH. A. WAHID ZAMAS, S.AG",Laki-Laki,1,14,22328
KOTA METRO,E-Foto_Muhammad Ansori_Lampung I.jpeg,Partai Kebangkitan Bangsa,70100,5,"MUHAMAD ANSORI, S.H.I",Laki-Laki,1,14,22328
KOTA METRO,E-Foto_Lilis Saadah_Lampung I.jpg,Partai Kebangkitan Bangsa,77260,6,"LILIS SA'ADAH, S.PD.I",Perempuan,1,14,22328
KOTA BANDAR LAMPUNG,E-Foto_Mahendra Utama_Lampung I.jpg,Partai Kebangkitan Bangsa,188728,7,"MAHENDRA UTAMA, SH",Laki-Laki,1,14,22328
JAKARTA PUSAT,E-Foto 4X6_Siti Maimunah_Lampung I.jpg,Partai Kebangkitan Bangsa,59713,8,"SITI MAIMUNAH, S.SOS.I, M.PD",Perempuan,1,14,22328
KOTA BANDAR LAMPUNG,E-Foto_Ade Febri Yanthi Insyiah_Lampung I.jpg,Partai Kebangkitan Bangsa,54400,9,ADE FEBRI YANTHI INSYIAH,Perempuan,1,14,22328
WAY KANAN,E-Foto_Menik Mahananing Timur_Lampung I.jpg,Partai Kebangkitan Bangsa,299637,10,"MENIK MAHANANING TIMUR, S.Pd.I",Perempuan,1,14,22328
LAMPUNG TIMUR,E-Foto_Ela Siti Nuryamah_Lampung II.jpg,Partai Kebangkitan Bangsa,21477,1,"ELA SITI NURYAMAH, S.SOS.I",Perempuan,1,15,22328
LAMPUNG TENGAH,E-Foto_Iskandar_Lampung II_.jpg,Partai Kebangkitan Bangsa,121551,2,"ISKANDAR, S.H",Laki-Laki,1,15,22328
LAMPUNG TENGAH,E-Foto_Nur Cahayati_Lampung II.jpg,Partai Kebangkitan Bangsa,25522,3,"NUR CHAYATI, SH",Perempuan,1,15,22328
WAY KANAN,E-Foto_Dani Utaria_Lampung II.jpg,Partai Kebangkitan Bangsa,21546,4,"H. DANI UTARIA, SH., MKN",Laki-Laki,1,15,22328
LAMPUNG TENGAH,E-Foto_Umin Santoso_Lampung II.jpeg,Partai Kebangkitan Bangsa,95431,5,UMIN SANTOSO,Laki-Laki,1,15,22328
TULANG BAWANG BARAT,E-Foto_Nikmatul Uluin_Lampung II.jpeg,Partai Kebangkitan Bangsa,122436,6,NIKMATUL ULUIN,Perempuan,1,15,22328
TULANG BAWANG,E-Foto_Abdullah Nawawi_Lampung II.jpg,Partai Kebangkitan Bangsa,70993,7,ABDULLAH NAWAWI,Laki-Laki,1,15,22328
LAMPUNG SELATAN,E-Foto_Muslih Zain_Lampung II.jpg,Partai Kebangkitan Bangsa,68078,8,MUSLIH ZAIN,Laki-Laki,1,15,22328
LAMPUNG UTARA,E-Foto_Khoirul Anam_Lampung II.jpg,Partai Kebangkitan Bangsa,53293,9,"KH. MOH. KHOIRUL ANAM, S.AG",Laki-Laki,1,15,22328
LAMPUNG TIMUR,E-Foto_Vivi Noviyanti_Sumsel II.jpeg,Partai Kebangkitan Bangsa,93498,10,VIVI NOVIYANTI,Perempuan,1,15,22328
